,combinedPval,adjustedPval,cluster
Glt8d2,0.00018074647952937006,0.003020576489162625,3
Zbtb39,0.00018090744725696162,0.003022971720547415,1
Ncf2,0.00018200442721227894,0.0030410057669534632,3
Peg12,0.00018298467417410258,0.0030570860636084003,3
Rc3h1,0.00018313954105564356,0.0030593751197625263,1
Jam2,0.00018345396868924002,0.0030643289575486387,9
Pou2f3,0.00018349098579339973,0.0030646485460717543,6
Tcta,0.00018374134832188638,0.003068530999505428,1
Has2,0.00018422559799624594,0.0030763182952435503,3
Ctdp1,0.00018460763179084516,0.003082397372816199,1
Atg2b,0.00018698878527578788,0.0031218513557882016,1
Oser1,0.00018722360460032839,0.0031254672490986703,1
Nfatc2ip,0.00018934802526393568,0.0031606239298953894,4
Pdzrn3,0.00018969494168741274,0.0031661063007367347,1
Smim1,0.0001898943224932781,0.0031691253980769274,7
Fancg,0.00019059118146991239,0.0031804454572352822,1
Kremen2,0.00019074787359185663,0.0031827502824157868,6
Nhsl1,0.0001914254585052566,0.0031937452419967495,1
Pex5l,0.00019200843395128508,0.0032031597486982897,2
Prmt3,0.00019224441502130318,0.0032067842902060283,1
Cldn10,0.00019363008445993923,0.003229583943292033,6
Add3,0.00019415966278724106,0.003238101681759353,3
Eno4,0.00019427642350478003,0.003239733658428981,6
Nek3,0.0001943585677621762,0.003240788113141589,2
