,combinedPval,adjustedPval,cluster
Orc2,2.797571285739764e-07,5.058617426746937e-06,1
Gm2990,2.803244547600059e-07,5.068365508850716e-06,2
Notch2,2.811083874565412e-07,5.08202755616693e-06,3
Usp13,2.822018039250196e-07,5.101281302278785e-06,7
Prnd,2.863122539054075e-07,5.175063733967477e-06,3
Zfp942,2.901274485100913e-07,5.243495140072224e-06,5
Gnpda2,2.9199209072849897e-07,5.2766638401014796e-06,5
Atp2a3,2.9218290720223195e-07,5.279580774685842e-06,7
Zfp704,2.9455656092025606e-07,5.3219357944893655e-06,5
Pphln1,2.950968378545582e-07,5.331160870407973e-06,8
Ybx3,3.0244143345292684e-07,5.463297193165661e-06,3
Ppef1,3.032903941324605e-07,5.478081690378385e-06,0
Tram1,3.0387352911720455e-07,5.488062308340055e-06,3
Nbn,3.0452387522750257e-07,5.4992546531085944e-06,1
1700017B05Rik,3.0724226984801817e-07,5.547786914824427e-06,3
Nudcd2,3.0760785363348475e-07,5.553829647389442e-06,1
3110009E18Rik,3.090123911198006e-07,5.578627486077738e-06,4
Xlr3b,3.0999517575125424e-07,5.595807163371686e-06,0
Pign,3.1047133086659073e-07,5.603838999001366e-06,5
Tmem196,3.1321164117859013e-07,5.65273188472474e-06,0
Gan,3.1386356058593634e-07,5.663928197225482e-06,4
Mkx,3.1395923172361506e-07,5.665085306925364e-06,3
Tnnt3,3.1452744087001605e-07,5.674767810575399e-06,7
Atxn1l,3.1738761896438206e-07,5.7257963819418835e-06,3
Gm16701.1,3.189069286424484e-07,5.752627341611329e-06,0
Bmper,3.206694549895417e-07,5.78383975284931e-06,3
Tepsin,3.2391103133022625e-07,5.841720492351007e-06,4
Ankrd34b,3.2634611146775683e-07,5.885045944724802e-06,0
Rgs9,3.268268544687203e-07,5.893123394459235e-06,0
Xxylt1,3.2714533282351965e-07,5.898273668197447e-06,3
Veph1,3.2896215473865453e-07,5.9304346122312084e-06,5
Prob1,3.31142220422187e-07,5.969136895114523e-06,0
Zfp612,3.334543453581418e-07,6.010211656074018e-06,0
Gm43050,3.344795598270167e-07,6.02808510762189e-06,7
Mxra8,3.3504490848379476e-07,6.03766797177775e-06,3
Grb7,3.3609163518910634e-07,6.055922702594278e-06,5
Tnks1bp1,3.4103938562068947e-07,6.144457957964294e-06,5
Cplx3,3.4183938024678895e-07,6.158253420723832e-06,0
Kcnb1,3.4407075810705123e-07,6.197829968698333e-06,0
Spink1,3.442341163228946e-07,6.200150574363472e-06,7
Arhgap44,3.452952082039218e-07,6.218638564682275e-06,0
Nfs1,3.4754559741223545e-07,6.2585395020688255e-06,4
Ccdc191,3.493381030006404e-07,6.290187776675127e-06,5
Serpinb9,3.5507613493912515e-07,6.392865794963774e-06,3
Tm4sf5,3.565018121820529e-07,6.417890462859271e-06,7
Trpc1,3.5854353819253504e-07,6.453999361664438e-06,0
Tchp,3.655964526672051e-07,6.580296385902711e-06,4
Ccdc96,3.6629757471651203e-07,6.592254927996858e-06,9
Atxn7,3.6795357694074937e-07,6.621394322751096e-06,1
Gm35610,3.689234400194863e-07,6.638181910774287e-06,0
Platr14,3.68980819676068e-07,6.638549113151104e-06,0
Rgp1,3.725902557594196e-07,6.7028169577722975e-06,4
Slc16a2,3.8143942360235883e-07,6.861324107285745e-06,9
Nectin2,3.826092866976438e-07,6.881678170605368e-06,3
Abcb6,3.8366118992883003e-07,6.8992156949417206e-06,7
Gm42047,3.836395805478787e-07,6.8992156949417206e-06,5
1190005I06Rik,3.861631933110843e-07,6.943512761257513e-06,0
Slc16a3,3.897247350392874e-07,7.006850367612885e-06,7
Mrps27,3.9179948574386003e-07,7.043446992328251e-06,1
Zfp467,3.921454737598751e-07,7.048961135615573e-06,3
Dnase1l2,3.925016918149282e-07,7.054658045329871e-06,6
Rnase4,3.9600426260388844e-07,7.11689935685081e-06,3
Tyrobp,4.0053561300990026e-07,7.19761535517633e-06,3
Hmx1,4.008070220162807e-07,7.20177181472419e-06,5
G630016G05Rik,4.0486937291639435e-07,7.274036944543419e-06,0
Grwd1,4.0622707242476963e-07,7.297593407190479e-06,1
Mccc2,4.062617990907569e-07,7.297593407190479e-06,1
Sft2d3,4.070079242524116e-07,7.310264574170964e-06,0
Sema3e,4.0718449723087247e-07,7.3127045094770376e-06,5
Map2k3,4.076037032341162e-07,7.31950101399878e-06,7
Fam78a,4.077190696172295e-07,7.3208405365288695e-06,7
Foxl1,4.08340357860304e-07,7.331263013420281e-06,5
Trim11,4.1043417231545476e-07,7.368118210962254e-06,4
Adam12,4.1147294083110353e-07,7.386027738268307e-06,3
Stra6l,4.135664262161498e-07,7.422864187146575e-06,0
Rsph1,4.1397417993582764e-07,7.42944007548285e-06,9
Trmt13,4.148725039065937e-07,7.444817850721919e-06,4
Pank4,4.186837843089819e-07,7.51245984602776e-06,4
Tec,4.193194196311367e-07,7.523113290893508e-06,3
Kpna2,4.2078417572533056e-07,7.548638581364222e-06,1
Gm45447,4.2157883339832836e-07,7.562138772647786e-06,0
Rabep2,4.2275846634520775e-07,7.582541133543772e-06,4
Tmem35b,4.2286405055325105e-07,7.583677343786686e-06,4
Zfp446,4.280363509190366e-07,7.675671140692482e-06,4
Lcor,4.3473953748041083e-07,7.795096115401442e-06,8
Spata33,4.358369714019261e-07,7.813993344494633e-06,9
Ezr,4.3640294689062387e-07,7.82335938898789e-06,9
Cep85l,4.3794775406169606e-07,7.85026924597133e-06,5
Emb,4.443910169849019e-07,7.964970408857217e-06,9
Plekhh1,4.4462803083789026e-07,7.968423077690143e-06,4
