,combinedPval,adjustedPval
ADD3,1.05338158594909e-21,3.55985872693634e-19
COX5A,1.05103490742154e-21,3.55985872693634e-19
COL14A1,1.13276583607628e-21,3.81703841660115e-19
ENSGALG00000054974,1.18164540313516e-21,3.97023811801254e-19
SAP18,1.37513094574405e-21,4.60701964719299e-19
EIF3H,1.55945229673982e-21,5.20952748963772e-19
SNCAIP,1.57592830611112e-21,5.24948274942417e-19
ENSGALG00000011799,1.85215960135327e-21,6.15199319797657e-19
HADHA,1.98806123816436e-21,6.58458070480039e-19
RASGEF1B,2.01506931913913e-21,6.65507280342218e-19
COPB2,2.19170213966211e-21,7.21792408281966e-19
PPIA,2.25186489820376e-21,7.39510854418472e-19
FAM3C,2.40019958316067e-21,7.86003512098197e-19
ARPC4,2.40828053857741e-21,7.86434508282833e-19
ENSGALG00000036310,2.61940804637844e-21,8.52983096389116e-19
SMIM4,2.67326763576682e-21,8.68090288295526e-19
TOMM20,2.82835318561985e-21,9.15892864103015e-19
MLF1,2.92515607192396e-21,9.44608883945486e-19
DERA,3.08164790921983e-21,9.92387531447475e-19
MRPL57,3.59663472808938e-21,1.15502995230794e-18
NDUFA12,3.60873362202691e-21,1.15572280911876e-18
AKR1B10L2,3.88284094407425e-21,1.24009141395914e-18
MAB21L1,4.1698087171014e-21,1.32809380872771e-18
TLX1,5.43083754560536e-21,1.72500838348101e-18
TIMM10,6.21025678956277e-21,1.96720209266233e-18
COPZ1,6.40303145378044e-21,2.02275507849364e-18
CAPZA2,7.6528211180638e-21,2.41061664357144e-18
ENSGALG00000000629,7.6722790652411e-21,2.41061664357144e-18
PDLIM1,8.30416471580533e-21,2.60212124804099e-18
EIF4A2,8.74960590580031e-21,2.73433068397527e-18
MFGE8,9.19875907206709e-21,2.86698813817212e-18
CIRBP,9.24716918439782e-21,2.87437008920582e-18
CTGF,9.45570552540802e-21,2.9313532320011e-18
NDUFS8,9.77669782514071e-21,3.02280290633394e-18
DUSP26,9.83387161823619e-21,3.03241521981514e-18
YWHAH,1.0169258237646e-20,3.1275406258264e-18
EIF4G2,1.0861567578138e-20,3.33164548272564e-18
NDUFB5,1.14099109741301e-20,3.49063262035445e-18
HSP90AA1,1.53633658097192e-20,4.68777630445093e-18
VEGFD,1.56816005657973e-20,4.77235243215726e-18
CLEC19A,1.62087786952122e-20,4.91990823415685e-18
NDUFV3,1.68020880395817e-20,5.08671628563651e-18
RBPMS2,1.69463206718885e-20,5.117056053623e-18
PDIA4,1.92313020293282e-20,5.7919775194263e-18
ENSGALG00000015271,2.29712214245496e-20,6.88614452683385e-18
AIF1L,2.29827702386188e-20,6.88614452683385e-18
STMN1,2.61424321306356e-20,7.81271301352198e-18
PKM,2.77214578410576e-20,8.26336511243155e-18
BSG,3.45786971187106e-20,1.02810471732041e-17
CFL2,3.88827519063094e-20,1.15312506137358e-17
HSBP1,3.92345832102702e-20,1.160598424676e-17
GM2A,3.97607850466709e-20,1.1731788163044e-17
MICOS13,4.02482193780285e-20,1.18455453445457e-17
SERBP1,4.62606402441514e-20,1.35806931562489e-17
NEK6,5.09617070379054e-20,1.4923096378338e-17
DDOST,5.26080588685834e-20,1.53664904043701e-17
FRZB,7.32150588548628e-20,2.13320701808242e-17
FIBIN,8.2100001667469e-20,2.38610009641024e-17
MPC2,8.36549630844586e-20,2.42522939213375e-17
ACBD7,8.8843423969503e-20,2.56924025661579e-17
ZNF593,9.56895324632326e-20,2.76035456365496e-17
HK1,9.77561233231626e-20,2.81298935792635e-17
ACADL,1.18204428153763e-19,3.38464556242671e-17
KAZALD1,1.17993703410837e-19,3.38464556242671e-17
ITM2A,1.18634305546977e-19,3.38860827305254e-17
CDO1,1.1951011402279e-19,3.40525768192845e-17
CALM1,1.21662139886345e-19,3.45810062647992e-17
CNN3,1.26197976874751e-19,3.56957124474973e-17
APOBEC2,1.25940238259961e-19,3.56957124474973e-17
COL4A1,1.46552901230408e-19,4.13525873789715e-17
UBB,1.49002235075243e-19,4.19419110642722e-17
IDH2,1.677967222048e-19,4.71181917772475e-17
SEPT7,1.89758721029227e-19,5.31568370452012e-17
DYL1,2.02546091896373e-19,5.66025531230231e-17
RCSD1,2.04591718788071e-19,5.70371057124563e-17
BZW2,2.08347655612274e-19,5.79452471949023e-17
ENSGALG00000024486,2.12755714209528e-19,5.90299878635194e-17
NIPSNAP2,2.41880869701845e-19,6.69510996802134e-17
HIST1H46L2,2.45008150513943e-19,6.76556264666488e-17
GSC,2.89054309520593e-19,7.96292236154809e-17
HSPB9,3.0432253172998e-19,8.36371498233507e-17
CALML4,3.22991219470613e-19,8.85585186341575e-17
NDUFA6,3.46801589307562e-19,9.48631698932692e-17
PDIA6,3.77173006187495e-19,1.02928700045025e-16
HMGB3,4.53517809379549e-19,1.23472987098708e-16
SPTBN1,4.54665114134056e-19,1.23496129706827e-16
NDUFA8,4.60409666711207e-19,1.24764958057897e-16
ID3,5.22769251404207e-19,1.41334134304884e-16
EIF3M,5.31848420665786e-19,1.43455131346438e-16
CFC1,5.38685979089366e-19,1.44963080314664e-16
MRPL13,5.4065982021214e-19,1.45158236357031e-16
BTF3L4,5.90614417351096e-19,1.58204851850923e-16
EIF4EBP1,6.03696113794838e-19,1.60967194411816e-16
PFDN2,6.03261178473384e-19,1.60967194411816e-16
FXYD6,6.11727297736713e-19,1.62735351983063e-16
ENSGALG00000002638,6.43457013078217e-19,1.70785467078062e-16
PPP1CA,6.4922768075432e-19,1.71924587791106e-16
C12orf66,7.91848446482585e-19,2.09215991154873e-16
BRT-1,8.25149705640114e-19,2.17520224734746e-16
CRIP1,8.94812904163703e-19,2.34819411831029e-16
ENSGALG00000033530,8.94553210266778e-19,2.34819411831029e-16
ANGPTL1,1.00459872431936e-18,2.63035966275684e-16
TNNT2,1.03902972217652e-18,2.71439748172802e-16
PFDN5,1.04767833899107e-18,2.73085467782448e-16
SURF4,1.06714871077369e-18,2.77538287726243e-16
CALM2,1.24623981346023e-18,3.22671616031532e-16
ATP6V1G1,1.2440051380064e-18,3.22671616031532e-16
TMEM263,1.25029727311388e-18,3.23002775295852e-16
HM13,1.26145430968626e-18,3.25162509494572e-16
ALDOC,1.30814561197434e-18,3.36452018093084e-16
VIM,1.47951447764259e-18,3.7968767599334e-16
CAB39L,1.64289549131153e-18,4.20687461899588e-16
IFT20,1.6572245605174e-18,4.23423978082071e-16
